priority,shipping_cost,customer_name,ship_mode,customer_segment,product_category,product_subcategory,product_container,product_name,country,state_region,order_date,ship_date,quantity,unit_price,discount,sales,profit
Critical,1.49,Lindsay P Ashley,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Staples® General Use 3-Ring Binders,United States,California,01/24/2015,01/25/2015,52,1.88,0.03,102.32,-15.0995
Critical,1.49,Christina Matthews,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Staples® General Use 3-Ring Binders,United States,New Jersey,04/13/2015,04/15/2015,1,1.88,0.05,3.42,-2.9095
Critical,0.76,Jon Ward,Regular Air,Consumer,Office Supplies,Rubber Bands,Wrap Bag,Revere Boxed Rubber Bands by Revere,United States,Florida,05/18/2015,05/20/2015,20,1.89,0.1,36.72,-40.432
Low,0.7,Robyn Zhou,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,Brites Rubber Bands  1 1/2 oz. Box,United States,Colorado,01/12/2015,01/16/2015,11,1.98,0.02,22.59,-20.7328
Critical,0.7,Lucille Rankin,Express Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Brites Rubber Bands  1 1/2 oz. Box,United States,Connecticut,05/21/2015,05/22/2015,3,1.98,0.04,8.3,-1
Medium,4.77,Don Rogers,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Avery Reinforcements for Hole-Punch Pages,United States,New York,01/07/2015,01/08/2015,1,1.98,0.05,3.53,-14.35982
Low,5.33,Alvin Hoover,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon® Wave Desk Accessories,United States,Pennsylvania,04/13/2015,04/20/2015,22,2.08,0,51.41,-192.5532
Medium,1.49,Anne Bland,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Economy Binders,United States,Texas,05/21/2015,05/23/2015,16,2.08,0.04,33.77,-11.2815
Medium,2.56,Anna Wood,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,United States,New York,06/02/2015,06/03/2015,20,2.08,0.05,42.29,-36.25
Critical,2.56,Danielle Baird,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,United States,Florida,02/14/2015,02/16/2015,19,2.08,0.05,40.93,-1045.016
Critical,5.33,Lynn Hines,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon® Wave Desk Accessories,United States,Maryland,01/13/2015,01/13/2015,4,2.08,0.06,9.23,-82.5592
Critical,5.33,Theresa Winters,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon® Wave Desk Accessories,United States,Arkansas,03/01/2015,03/03/2015,3,2.08,0,7.47,-29.54
High,5.33,Juan Justice,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon® Wave Desk Accessories,United States,Minnesota,04/05/2015,04/05/2015,12,2.08,0.01,28.32,-103.7124
Low,5.33,Lynn O'Donnell,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon® Wave Desk Accessories,United States,Illinois,03/03/2015,03/10/2015,9,2.08,0.08,19.67,-129.01
Medium,1.49,Gilbert Godfrey,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Economy Binders,United States,Michigan,02/27/2015,02/28/2015,7,2.08,0.04,14.77,-3.71956
Critical,0.7,Kyle Fink,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford EarthWrite® Recycled Pencils  Medium Soft  #2,United States,Virginia,01/06/2015,01/07/2015,4,2.1,0.03,8.72,-1473.906
Low,1.99,Dwight M Carr,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,United States,Oregon,04/09/2015,04/11/2015,12,2.12,0.07,26.07,-55.84
Low,1.99,Linda Weiss,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,United States,Washington,04/09/2015,04/11/2015,46,2.12,0.07,99.94,-55.84
Low,6.05,Kelly Byers,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,United States,Oregon,01/31/2015,02/04/2015,2,2.16,0.09,5.48,-37.789
High,6.05,Jerry Ennis,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,United States,California,05/11/2015,05/12/2015,7,2.16,0.03,17.31,-90.5855
Medium,6.05,Charlotte L Doyle,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,United States,Florida,02/04/2015,02/05/2015,8,2.16,0.05,18.59,-298.886
Critical,6.05,Derek Sweeney,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,United States,Louisiana,05/23/2015,05/25/2015,24,2.16,0.01,58.05,395.76
Critical,1.38,Ruth Dudley,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Push Pins,United States,Maine,04/06/2015,04/06/2015,7,2.18,0.03,15.73,-7.04
Critical,0.78,Alex Watkins,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Stockwell Push Pins,United States,New York,01/16/2015,01/18/2015,9,2.18,0.09,19.12,2.4548
Critical,1,Andrew Levine,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Quartet Alpha® White Chalk  12/Pack,United States,Pennsylvania,06/10/2015,06/11/2015,33,2.21,0,87.18,10.01
Low,5,Francis Evans,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,United States,Massachusetts,04/04/2015,04/09/2015,3,2.22,0.1,8.8,-21.3192
Medium,4.57,Christina Hanna,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,Eldon Pizzaz™ Desk Accessories,United States,Utah,05/01/2015,05/02/2015,12,2.23,0.03,28.66,-93.25
Not Specified,5.2,Danny Richmond,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Binney & Smith inkTank™ Erasable Pocket Highlighter  Chisel Tip  Yellow,United States,Florida,06/01/2015,06/03/2015,13,2.28,0.06,30.47,-2002.6314
Critical,1.92,Ryan Foster,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,Letter Slitter,United States,Colorado,04/24/2015,04/24/2015,1,2.52,0.04,3.13,-8.208
Critical,1.3,Brenda Nelson Blanchard,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,DIXON Oriole® Pencils,United States,Minnesota,05/28/2015,05/29/2015,39,2.58,0.02,109.74,1.108
Critical,2.4,Laurence Hull,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,12 Colored Short Pencils,United States,Michigan,03/11/2015,03/13/2015,16,2.6,0,44.75,-45.21
Medium,2.4,Rachel Casey,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,12 Colored Short Pencils,United States,Kentucky,06/17/2015,06/19/2015,12,2.6,0.09,31.73,1107.408
Low,2.4,Karl Knowles,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,12 Colored Short Pencils,United States,Wisconsin,01/09/2015,01/14/2015,12,2.6,0.1,30.1,-88.04
Critical,0.5,Elisabeth Massey,Express Air,Corporate,Office Supplies,Labels,Small Box,Avery 479,United States,Arizona,03/11/2015,03/11/2015,1,2.61,0.06,17.59,10.85
Medium,0.5,Connie Bunn,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 479,United States,Iowa,03/20/2015,03/22/2015,2,2.61,0.06,5.21,3.5949
Medium,0.5,Joanna Kenney,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 494,United States,Ohio,02/25/2015,02/27/2015,6,2.61,0.07,15.65,10.7985
High,0.5,Jean Khan,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 494,United States,California,06/03/2015,06/05/2015,17,2.61,0.09,42.58,29.3802
Critical,0.5,Carmen Elmore,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 494,United States,Ohio,05/03/2015,05/05/2015,10,2.61,0,28.34,19.5546
High,0.5,Lester Copeland,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 494,United States,Florida,06/14/2015,06/15/2015,7,2.61,0.03,19.02,4.0443
High,0.5,Jesse Williamson,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 494,United States,Utah,05/23/2015,05/23/2015,15,2.61,0.07,39.15,27.0135
High,0.5,Eugene Kerr,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 494,United States,New York,05/29/2015,06/01/2015,22,2.61,0.07,57.03,39.3507
Low,0.8,Vivian Goldstein,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,Staples Metal Binder Clips,United States,Florida,04/30/2015,05/06/2015,21,2.62,0.1,51.86,-94.4909
Low,0.8,Edna Michael,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Metal Binder Clips,United States,Florida,04/10/2015,04/12/2015,12,2.62,0.09,29.55,8.388
High,0.8,Jean Khan,Express Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Metal Binder Clips,United States,California,05/13/2015,05/15/2015,12,2.62,0.08,31.55,21.7695
Critical,0.8,Leah Pollock,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Metal Binder Clips,United States,New Jersey,05/26/2015,05/27/2015,8,2.62,0.05,21.41,12.71
Not Specified,1.49,Ann Katz,Express Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Suede Grain Vinyl Binders,United States,California,04/16/2015,04/17/2015,9,2.78,0,29.92,20.6448
Not Specified,1.25,Michelle Bryant Phillips,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 318,United States,Georgia,06/20/2015,06/21/2015,18,2.78,0.1,46.42,0.7854
High,1.49,Earl Donnelly,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Suede Grain Vinyl Binders,United States,Louisiana,05/07/2015,05/08/2015,17,2.78,0.07,47.12,-340.5311
Low,1.25,Jerry Webster,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 318,United States,Florida,05/23/2015,05/23/2015,28,2.78,0.04,80.27,213
Not Specified,0.97,Melanie Knight,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 339,United States,Maine,01/09/2015,01/11/2015,6,2.78,0.09,16.03,-5.0716
Not Specified,1.25,Stephanie Hawkins,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 318,United States,Wisconsin,04/09/2015,04/10/2015,7,2.78,0.08,19.46,-8.77
High,1.25,Kyle Fink,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 318,United States,Virginia,01/10/2015,01/12/2015,10,2.78,0.06,28.09,66.36
High,0.97,Judy Barrett,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 333,United States,Nebraska,06/23/2015,06/24/2015,11,2.78,0.09,29.02,-3.784
Not Specified,1.34,Melvin Duke,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Drawing Pencil Set,United States,Indiana,06/24/2015,06/26/2015,15,2.78,0.03,43.13,6.972
High,0.93,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,United States,Washington,01/07/2015,01/08/2015,4,2.84,0.01,13.01,4.56
Critical,0.93,Pam Anthony,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,United States,Massachusetts,06/06/2015,06/08/2015,15,2.84,0.07,40.37,3.852
Critical,0.93,Jenny Gold,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,United States,California,06/06/2015,06/08/2015,59,2.84,0.07,158.8,3.21
Medium,0.5,Sherri McIntosh,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 507,United States,Utah,04/23/2015,04/24/2015,3,2.88,0.08,8.74,6.0306
Low,1.01,Brian Leach,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Colorific Colored Pencils  12/Box,United States,Iowa,02/05/2015,02/09/2015,12,2.88,0.07,34.97,9.59
Not Specified,0.5,Edward Leonard,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,United States,California,03/18/2015,03/20/2015,3,2.88,0.05,8.77,6.0513
Not Specified,0.7,Carolyn Greer,Express Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 340,United States,California,04/24/2015,04/24/2015,1,2.88,0,7.96,-0.109999999999999
Medium,1.49,Caroline Johnston,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,United States,Massachusetts,06/22/2015,06/23/2015,17,2.88,0.09,47.31,-3.381
Medium,1.49,Tom McFarland,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,United States,New Jersey,06/22/2015,06/23/2015,4,2.88,0.09,11.13,-2.7048
Critical,0.7,Kent Kerr,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 335,United States,Tennessee,01/15/2015,01/16/2015,2,2.88,0.09,5.5,-172.718
Low,1.01,Joanna Kenney,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Colorific Colored Pencils  12/Box,United States,Ohio,05/30/2015,06/04/2015,39,2.88,0.04,111.92,15.246
Critical,0.7,Dawn Larson,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,United States,Michigan,01/15/2015,01/15/2015,7,2.88,0.09,19.29,4.85
Medium,0.99,Marshall Brandt Briggs,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 514,United States,Tennessee,03/21/2015,03/23/2015,10,2.88,0.09,28.73,-145.082
Critical,0.5,Lynda Banks,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 492,United States,Michigan,06/21/2015,06/24/2015,9,2.88,0.07,25.26,17.4294
Low,0.7,Edward Pugh,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 340,United States,New Mexico,01/19/2015,01/19/2015,10,2.88,0.09,26.38,5.7532
Low,0.99,Joyce Murray,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 514,United States,California,01/05/2015,01/14/2015,8,2.88,0.06,23.26,16.0494
Not Specified,0.7,Albert Tyson,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 340,United States,Mississippi,05/23/2015,05/25/2015,13,2.88,0,38.06,-141.666
Low,0.5,Jeanne Walker,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 498,United States,New Hampshire,06/27/2015,07/03/2015,9,2.89,0.05,26.18,18.0642
Medium,0.5,Benjamin Gunter,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 498,United States,Florida,01/22/2015,01/24/2015,12,2.89,0.07,33.02,441.594
Critical,0.5,Julia Reynolds,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 498,United States,Colorado,04/06/2015,04/07/2015,14,2.89,0.01,43.08,29.7252
High,0.5,Kristina Collier,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 498,United States,Michigan,01/26/2015,01/28/2015,1,2.89,0.01,3.08,1.2236
Critical,0.49,Paige Mason,Regular Air,Corporate,Office Supplies,Labels,Small Box,*Staples* Packaging Labels,United States,Virginia,04/23/2015,04/23/2015,1,2.89,0.08,3.07,38.406
Not Specified,0.99,Carol Wood,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 482,United States,Virginia,06/01/2015,06/03/2015,6,2.89,0.06,16.67,-2.0097
Low,0.5,Lorraine Boykin,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 498,United States,New York,02/28/2015,02/28/2015,5,2.89,0.06,13.93,9.6117
Medium,0.5,Amy Shea,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 498,United States,Iowa,03/20/2015,03/22/2015,22,2.89,0.09,58.67,40.4823
Medium,0.96,Jerry Webster,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,United States,Florida,05/17/2015,05/18/2015,3,2.94,0.06,8.79,-8.876
Not Specified,0.7,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,United States,Oregon,06/15/2015,06/16/2015,18,2.94,0.04,53.1,24.312
Critical,0.96,Maureen Herbert Hood,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,United States,Wisconsin,02/24/2015,02/26/2015,1,2.94,0.09,3.77,-1.84
Critical,0.7,Lloyd Dolan,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,United States,North Dakota,01/27/2015,01/28/2015,9,2.94,0.09,25.22,6.384
Medium,0.96,Judy Hall,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,United States,Massachusetts,01/27/2015,01/29/2015,9,2.94,0.08,25.35,-1.18
Low,0.96,Yvonne Clarke,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,United States,Illinois,02/04/2015,02/08/2015,2,2.94,0.03,7.01,-4.2
Medium,0.96,Jimmy Alston Holder,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,United States,Washington,05/15/2015,05/17/2015,6,2.94,0.08,17.4,-2.12
Low,0.96,Phillip Chappell,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,United States,California,02/04/2015,02/08/2015,1,2.94,0.03,3.51,-4.2
Medium,0.96,Toni Swanson,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,United States,New York,05/15/2015,05/17/2015,23,2.94,0.08,66.7,-2.12
Critical,0.81,Benjamin Lam,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Colored Pencils,United States,Georgia,04/08/2015,04/09/2015,10,2.94,0.07,29.88,-93.9274
High,1.58,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,United States,New York,02/12/2015,02/15/2015,6,2.98,0.04,18.8,2.63
Low,2.03,Daniel Richmond,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Premium Writing Pencils  Soft  #2 by Central Association for the Blind,United States,Ohio,01/16/2015,01/16/2015,5,2.98,0.04,15.7,-22.01
Not Specified,0.99,Michelle Bryant Phillips,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 481,United States,Georgia,06/20/2015,06/21/2015,14,3.08,0.04,43.41,257.0832
Not Specified,0.99,Victor Cherry,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 481,United States,Michigan,02/01/2015,02/02/2015,11,3.08,0.04,33.63,23.2047
Critical,0.99,Lawrence Hester,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 481,United States,Kentucky,03/20/2015,03/21/2015,19,3.08,0.04,60.01,13.8
Critical,0.99,Alexander O'Brien,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 481,United States,Texas,03/20/2015,03/21/2015,75,3.08,0.04,236.87,36.02
Low,0.5,Debra Proctor,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 497,United States,Indiana,02/01/2015,02/06/2015,4,3.08,0.01,13.05,9.0045
Not Specified,0.99,Joe George,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 481,United States,Louisiana,01/20/2015,01/21/2015,14,3.08,0.04,42.53,424.29
Critical,1.92,Annette McIntyre,Express Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,Serrated Blade or Curved Handle Hand Letter Openers,United States,Georgia,04/25/2015,04/26/2015,18,3.14,0.05,59.22,1628.37
Not Specified,1.92,Robyn Lyon,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,Serrated Blade or Curved Handle Hand Letter Openers,United States,Ohio,02/28/2015,03/02/2015,8,3.14,0,27.53,-13.1352
